;;;;;;;;;;;
It has seven notches. It's one of the Eight Treasures that only the strong are said to be able to obtain. It's said to prevent a Mega-Evolved Pokémon from going berserk if the Pokémon holds it.;;;;;;;;;;;
It has three notches. It prevents enemy Pokémon's moves from resulting in a critical hit. You can add various effects by setting emeras on it. ;;;;;;;;;;;
It has three notches. It prevents carried items from getting sticky as a result of traps or other means. You can add various effects by setting emeras on it. ;;;;;;;;;;;
It has four notches. It prevents the holder from getting poisoned or badly poisoned. You can add various effects by setting emeras on it.;;;;;;;;;;;
It has four notches. It prevents the holder from getting confused. You can add various effects by setting emeras on it.;;;;;;;;;;;
It has four notches. It prevents all of the holder's stats from being lowered. You can add various effects by setting emeras on it.;;;;;;;;;;;
It has four notches. It protects the holder from Sleep, Yawning, Napping, or having Nightmares. You can add various effects by setting emeras on it.;;;;;;;;;;;
It has four notches. The holder is completely unaffected by weather!;;;;;;;;;;;
It has one notch. It's one of the Eight Treasures that only the strong are said to be able to obtain. It prevents the holder from having bad status conditions or a reduction in stats.;;;;;;;;;;;
It has four notches. It boosts the holder's Attack by 10. You can add various effects by setting emeras on it.;;;;;;;;;;;
It has five notches. It's one of the Ancient Treasures. It's said to have the effect of boosting Max HP by 50.;;;;;;;;;;;
It has four notches. It boosts the critical-hit rate if the holder uses the same move it used the turn before. You can add various effects by setting emeras on it.;;;;;;;;;;;
It has five notches. It's one of the Ancient Treasures. It's said to boost Attack and Special Attack by 20.;;;;;;;;;;;
It has four notches. It boosts the holder's Defense by 10. You can add various effects by setting emeras on it.;;;;;;;;;;;
It has four notches. It boosts the holder's evasiveness. You can add various effects by setting emeras on it.;;;;;;;;;;;
It has four notches. It boosts the critical-hit rate if the holder uses a move it didn't use the turn before. You can add various effects by setting emeras on it.;;;;;;;;;;;
It has three notches. It boosts the holder's critical-hit rate for moves. You can add various effects by setting emeras on it.;;;;;;;;;;;
It has five notches. It's one of the Ancient Treasures. It's said to boost Defense by 50. You can add various effects by setting emeras on it.;;;;;;;;;;;
It has five notches. It's one of the Ancient Treasures. It's said to have the effect of boosting Defense and Sp. Def by 20.;;;;;;;;;;;
It has three notches. It's one of the Eight Treasures that only the strong are said to be able to obtain. It is said to boost the power of moves significantly.;;;;;;;;;;;
It has five notches. It's one of the Ancient Treasures. It's said to boost the Speed of the holder by 50. ;;;;;;;;;;;
It has four notches. Increases the Special Attack of the holder by 10.;;;;;;;;;;;
It has four notches. Increases the Special Defense of the holder by 10.;;;;;;;;;;;
It has three notches. Increases the Speed of the holder by 20.;;;;;;;;;;;
It has five notches. It's one of the Ancient Treasures. It's said to boost the Special Attack of the holder by 30.;;;;;;;;;;;
It has five notches. It's one of the Ancient Treasures. It's said to boost the Special Defense of the holder by 40.;;;;;;;;;;;
It has five notches. It's one of the Ancient Treasures. It's said to boost the Attack of the holder by 30.;;;;;;;;;;;
It has five notches. It enables the holder to participate in an Alliance even when the holder is far away from the leader. You can add various effects by setting emeras on it.;;;;;;;;;;;
;;The amount of Belly depleted during activities; such as walking or using an [[Alliance]]; is reduced to half. It has three notches.;It's one of the items invented by the legendary glutton team; the Never Hungries. You'll definitely want it for your adventure! The holder gets hungry half as much; even if it walks or uses an Alliance. You found it at the Aurora's Edge on the [[Mist Continent]]. ;;;;
